YEAR,OOP,Premiums,Other
1990,528,1090,1217
1991,533,1298,1236
1992,536,1436,1319
1993,534,1567,1395
1994,521,1727,1405
1995,525,1908,1383
1996,540,1834,1600
1997,571,1957,1621
1998,619,2091,1633
1999,648,2153,1763
2000,686,2333,1826
2001,706,2559,1948
2002,763,2840,2077
2003,812,3212,2090
2004,850,3406,2227
2005,897,3496,2479
2006,933,3826,2510
2007,976,4170,2521
2008,988,4425,2499
2009,968,4577,2592
2010,975,4825,2581
2011,996,5005,2597
2012,1030,5146,2700
2013,1047,5607,2394
2014,1070,6372,1998
2015,1101,6713,2065
2016,1133,7045,2070
2017,1147,7376,2088
2018,1184,7633,2224
2019,1231,7824,2402
2020,1181,0,11410
2021,,,